
Runtime summary
                          comm  parent   sched-in     run-time    min-run     avg-run     max-run  stddev  migrations
                                          (count)       (msec)     (msec)      (msec)      (msec)       %
---------------------------------------------------------------------------------------------------------------------
                    systemd[1]       0         15        2.521      0.137       0.168       0.271    7.22       0
             migration/40[257]       2         83        0.822      0.003       0.009       0.041    6.52       0
                   kthreadd[2]       0          2        0.144      0.071       0.072       0.072    0.49       0
             ksoftirqd/40[258]       2          1        0.017      0.017       0.017       0.017    0.00       0
             migration/83[515]       2         84        0.733      0.008       0.008       0.043    4.77       0
              agent[6659/3163]    3163          5        2.916      0.016       0.583       1.608   56.26       0
              agent[4358/3163]    3163          2        1.905      0.727       0.952       1.177   23.66       0
             migration/41[263]       2         83        0.752      0.003       0.009       0.041    4.55       0
          kworker/28:1-mm[775]       2        428       13.422      0.004       0.031       0.130    3.43       0
          kworker/30:1-ev[776]       2        371        7.809      0.003       0.021       0.116    4.58       0
             migration/84[521]       2         84        0.760      0.004       0.009       0.041    7.44       0
          kworker/29:1-mm[777]       2        484        8.188      0.001       0.016       0.148    4.70       0
            dockerd[4361/2411]    2411          2        2.731      0.995       1.365       1.735   27.08       0
           kworker/u224:0-[10]       2       2207     3261.538      0.014       1.477      41.902    1.72       0
          kworker/31:1-mm[778]       2         39        0.394      0.003       0.010       0.050   13.05       0
              irqbalance[2314]       1         33      298.202      8.942       9.036       9.348    0.14       0
         containerd[4362/2345]    2345          4        2.636      0.356       0.659       0.945   21.41       0
          kworker/32:1-mm[779]       2         42        0.376      0.003       0.008       0.025    9.39       0
          kworker/33:1-mm[780]       2        105        0.905      0.002       0.008       0.045    8.73       0
         jbd2/nvme0n1p2-[1548]       2        167        8.082      0.008       0.048       0.288    7.70       0
            dockerd[4364/2411]    2411          3        2.940      0.693       0.980       1.260   16.71       0
             migration/42[269]       2         83        0.775      0.003       0.009       0.041    4.33       0
          kworker/34:1-mm[781]       2         10        0.088      0.003       0.008       0.020   19.50       0
               ksoftirqd/0[14]       2         99        1.335      0.009       0.013       0.015    0.52       0
          kworker/35:1-mm[782]       2        170        3.071      0.003       0.018       0.066    4.79       0
                   gmond[2318]       1         38       16.050      0.054       0.422       1.661   14.63       0
                 rcu_sched[15]       2       1929       30.237      0.004       0.015       0.041    0.67       0
             migration/85[527]       2         84        0.551      0.002       0.006       0.041    7.89       0
          kworker/36:1-mm[783]       2         38        0.448      0.003       0.011       0.044    9.92       0
               migration/0[16]       2         83        0.754      0.008       0.009       0.041    5.14       0
          kworker/37:1-ev[784]       2         38        0.486      0.003       0.012       0.068   13.92       0
        kworker/79:0-ev[90640]       2         38        1.377      0.013       0.036       0.059    4.87       0
          kworker/38:1-mm[785]       2          7        0.067      0.003       0.009       0.018   20.93       0
         kworker/u226:0-[4625]       2         60       28.194      0.007       0.469       5.792   29.34       0
         containerd[5905/2345]    2345          5        1.832      0.009       0.366       1.593   83.86       0
          kworker/39:1-ev[786]       2          5        0.081      0.007       0.016       0.035   31.02       0
                rsyslogd[2322]       1          1        0.031      0.031       0.031       0.031    0.00       0
             migration/43[275]       2         83        0.615      0.003       0.007       0.042    6.83       0
          kworker/40:1-mm[787]       2         40        0.310      0.002       0.007       0.026   11.77       0
       kworker/64:1-mm[145427]       2          2        0.026      0.013       0.013       0.013    0.51       0
          kworker/41:1-mm[788]       2         11        0.069      0.003       0.006       0.013   15.33       0
                  screen[7700]       1          4        0.294      0.041       0.073       0.087   14.79       0
       kworker/61:2-mm[145428]       2          2        0.059      0.024       0.029       0.034   16.34       0
       kworker/u228:1-[571668]       2          1        0.010      0.010       0.010       0.010    0.00       0
             migration/86[533]       2         84        0.738      0.002       0.008       0.042   11.32       0
          kworker/42:1-mm[789]       2          7        0.057      0.003       0.008       0.015   22.45       0
            dockerd[4629/2411]    2411         40        3.886      0.036       0.097       0.844   25.56       0
               migration/1[22]       2         83        0.727      0.008       0.008       0.042    4.66       0
          kworker/43:1-mm[790]       2         34        0.486      0.003       0.014       0.040   11.79       0
          kworker/44:1-mm[791]       2          5        0.085      0.007       0.017       0.038   33.45       0
              snapd[2583/2327]    2327          3        0.946      0.099       0.315       0.499   36.89       0
          kworker/45:1-mm[792]       2        132        1.966      0.003       0.014       0.050    5.22       0
              snapd[2584/2327]    2327          2        0.399      0.166       0.199       0.232   16.66       0
             migration/44[281]       2         83        0.766      0.003       0.009       0.041    5.46       0
          kworker/46:1-ev[793]       2        231       10.706      0.003       0.046       0.101    3.55       0
