   76327.617655 lost 7156 events on cpu 5

Runtime summary
                          comm  parent   sched-in     run-time    min-run     avg-run     max-run  stddev  migrations
                                          (count)       (msec)     (msec)      (msec)      (msec)       %
---------------------------------------------------------------------------------------------------------------------
                    systemd[1]       0          5        1.138      0.182       0.227       0.321   11.41       0
             migration/40[257]       2         39        0.285      0.003       0.007       0.041   13.37       0
                   kthreadd[2]       0          2        0.181      0.073       0.090       0.107   18.77       0
             migration/83[515]       2         38        0.379      0.008       0.009       0.043    8.96       0
          kworker/24:1-mm[771]       2         20        0.251      0.007       0.012       0.020    7.94       0
          kworker/27:1-mm[774]       2          3        0.031      0.008       0.010       0.014   20.36       0
             migration/41[263]       2         40        0.298      0.003       0.007       0.041   12.68       0
          kworker/28:1-mm[775]       2        281        7.104      0.002       0.025       0.110    5.26       0
             ksoftirqd/41[264]       2          1        0.063      0.063       0.063       0.063    0.00       0
          kworker/30:1-mm[776]       2       1707       12.168      0.002       0.007       2.675   22.09       0
             migration/84[521]       2         38        0.358      0.004       0.009       0.043   13.80       0
          kworker/29:1-mm[777]       2       1535        7.970      0.001       0.005       0.060    2.51       0
            dockerd[4361/2411]    2411          1        1.121      1.121       1.121       1.121    0.00       0
           kworker/u224:0-[10]       2       2453     4016.916      0.015       1.637      85.071    2.93       0
            kworker/41:0H[266]       2          2        0.025      0.008       0.012       0.017   36.37       0
          kworker/31:1-mm[778]       2       1588        7.223      0.002       0.004       0.047    2.21       0
              irqbalance[2314]       1         15      139.920      9.207       9.328       9.585    0.29       0
         containerd[4362/2345]    2345          2        0.745      0.022       0.372       0.722   93.89       0
          kworker/32:1-mm[779]       2       1576       10.183      0.002       0.006       2.731   26.82       0
          kworker/33:1-mm[780]       2       1119        5.252      0.002       0.004       0.036    2.65       0
         jbd2/nvme0n1p2-[1548]       2         87        5.360      0.004       0.061       0.287   11.74       0
            dockerd[4364/2411]    2411          4        1.629      0.015       0.407       1.514   90.65       0
             migration/42[269]       2         39        0.302      0.003       0.007       0.041   12.46       0
          kworker/34:1-mm[781]       2       1088        8.634      0.002       0.007       2.665   30.88       0
               ksoftirqd/0[14]       2        239        1.976      0.003       0.008       0.034    3.62       0
          kworker/35:1-mm[782]       2       1146        5.824      0.002       0.005       0.035    2.38       0
                   gmond[2318]       1         15        8.772      0.092       0.584       1.706   21.36       0
                 rcu_sched[15]       2       2370       23.437      0.002       0.009       0.046    1.22       0
             migration/85[527]       2         38        0.316      0.002       0.008       0.040   15.42       0
          kworker/36:1-mm[783]       2        891        4.665      0.002       0.005       0.062    3.39       0
               migration/0[16]       2         38        0.352      0.003       0.009       0.041    9.98       0
             ksoftirqd/85[528]       2          1        0.013      0.013       0.013       0.013    0.00       0
          kworker/37:1-mm[784]       2        846        4.227      0.002       0.004       0.050    3.02       0
        kworker/79:0-mm[90640]       2         15        0.166      0.005       0.011       0.019    9.20       0
          kworker/38:1-ev[785]       2        871        4.306      0.002       0.004       0.055    3.20       0
         containerd[5905/2345]    2345        432       21.747      0.016       0.050       0.379    2.76       0
          kworker/39:1-mm[786]       2        965        5.231      0.002       0.005       0.045    2.52       0
             migration/43[275]       2         39        0.267      0.003       0.006       0.041   14.49       0
          kworker/40:1-mm[787]       2        925        4.943      0.001       0.005       0.061    3.16       0
       kworker/64:1-ev[145427]       2        130        2.653      0.005       0.020       0.071    5.20       0
          kworker/41:1-mm[788]       2       1118        6.083      0.002       0.005       0.036    2.54       0
                  screen[7700]       1          4        0.263      0.054       0.065       0.090   12.90       0
       kworker/61:2-mm[145428]       2          5        0.076      0.005       0.015       0.034   33.29       0
       kworker/u228:1-[571668]       2          4        0.123      0.030       0.030       0.032    2.13       0
             migration/86[533]       2         38        0.256      0.002       0.006       0.041   15.24       0
          kworker/42:1-mm[789]       2        718        4.639      0.002       0.006       0.082    4.51       0
            dockerd[4629/2411]    2411          1        0.448      0.448       0.448       0.448    0.00       0
               migration/1[22]       2         38        0.339      0.003       0.008       0.040   10.09       0
          kworker/43:1-mm[790]       2        578        2.688      0.002       0.004       0.036    2.98       0
               ksoftirqd/1[23]       2         71        1.063      0.004       0.014       0.127   15.54       0
          kworker/44:1-mm[791]       2        804        4.371      0.002       0.005       0.039    2.94       0
         kworker/89:1H-k[1303]       2         55        1.459      0.009       0.026       0.071    7.23       0
              snapd[2583/2327]    2327          2        0.071      0.017       0.035       0.053   52.08       0
          kworker/45:1-mm[792]       2        787        4.628      0.002       0.005       0.050    3.38       0
