# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3M of event 'sched:sched_switch'
# Event count (approx.): 3693633
#
# Overhead  Command          Shared Object      Symbol        
# ........  ...............  .................  ..............
#
    49.93%  swapper          [kernel.kallsyms]  [k] __schedule
    27.30%  worker-2         [kernel.kallsyms]  [k] __schedule
    20.80%  worker-1         [kernel.kallsyms]  [k] __schedule
     0.66%  main             [kernel.kallsyms]  [k] __schedule
     0.18%  :-1              [kernel.kallsyms]  [k] __schedule
     0.14%  lcpan            [kernel.kallsyms]  [k] __schedule
     0.12%  containerd       [kernel.kallsyms]  [k] __schedule
     0.06%  kworker/u224:0-  [kernel.kallsyms]  [k] __schedule
     0.06%  gmond            [kernel.kallsyms]  [k] __schedule
     0.05%  rcu_sched        [kernel.kallsyms]  [k] __schedule
     0.02%  kworker/u226:2-  [kernel.kallsyms]  [k] __schedule
     0.02%  kworker/0:2-eve  [kernel.kallsyms]  [k] __schedule
     0.02%  kworker/29:1-ev  [kernel.kallsyms]  [k] __schedule
     0.02%  kworker/u225:3-  [kernel.kallsyms]  [k] __schedule
     0.02%  dockerd          [kernel.kallsyms]  [k] __schedule
     0.02%  kworker/86:1-mm  [kernel.kallsyms]  [k] __schedule
     0.02%  perf             [kernel.kallsyms]  [k] __schedule
     0.02%  kworker/u225:1-  [kernel.kallsyms]  [k] __schedule
     0.02%  kworker/85:1-mm  [kernel.kallsyms]  [k] __schedule
     0.02%  kworker/30:1-ev  [kernel.kallsyms]  [k] __schedule
     0.01%  agent            [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/87:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/63:0-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/88:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/109:1H-  [kernel.kallsyms]  [k] __schedule
     0.01%  multipathd       [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/53:1H    [kernel.kallsyms]  [k] __schedule
     0.01%  kcompactd0       [kernel.kallsyms]  [k] __schedule
     0.01%  kcompactd1       [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/66:0-ev  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/28:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/35:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/31:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/89:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/90:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/46:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/92:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/u226:1-  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/93:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/u225:2   [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/35:1H-k  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/33:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/94:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/95:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  containerd-shim  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/44:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/109:1-m  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/96:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/8:2-eve  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/62:1-ev  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/101:1-m  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/99:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/98:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/97:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/32:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/104:1-m  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/82:0-ev  [kernel.kallsyms]  [k] __schedule
     0.00%  ksoftirqd/0      [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/25:2-ev  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/107:1-m  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/80:0-ev  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/111:1-m  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/71:2-ev  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/105:1-m  [kernel.kallsyms]  [k] __schedule
     0.00%  jbd2/nvme0n1p2-  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/103:1-m  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/106:1-m  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/45:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/110:1-m  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/84:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/108:1-m  [kernel.kallsyms]  [k] __schedule
