   76177.910062 lost 5538 events on cpu 58
   76177.916688 lost 1177 events on cpu 64

Runtime summary
                          comm  parent   sched-in     run-time    min-run     avg-run     max-run  stddev  migrations
                                          (count)       (msec)     (msec)      (msec)      (msec)       %
---------------------------------------------------------------------------------------------------------------------
                    systemd[1]       0          7        1.339      0.140       0.191       0.288    9.52       0
             migration/40[257]       2         37        0.299      0.003       0.008       0.041   12.66       0
                   kthreadd[2]       0          2        0.156      0.074       0.078       0.081    4.64       0
             migration/83[515]       2         38        0.358      0.008       0.009       0.042    9.51       0
          kworker/24:1-mm[771]       2          8        0.156      0.014       0.019       0.038   14.37       0
              agent[6659/3163]    3163          1        0.412      0.412       0.412       0.412    0.00       0
            kworker/40:0H[260]       2          2        0.064      0.028       0.032       0.035   10.27       0
             migration/41[263]       2         37        0.214      0.003       0.005       0.041   17.68       0
          kworker/28:1-mm[775]       2        314        7.434      0.002       0.023       0.086    4.02       0
          kworker/30:1-mm[776]       2       1145        5.269      0.001       0.004       0.069    2.60       0
             migration/84[521]       2         38        0.310      0.003       0.008       0.043   17.03       0
          kworker/29:1-mm[777]       2       1082        7.579      0.001       0.007       2.329   30.73       0
            dockerd[4361/2411]    2411          2        3.828      1.521       1.914       2.307   20.54       0
           kworker/u224:0-[10]       2       2818     4258.091      0.007       1.511      56.580    2.38       0
          kworker/31:1-ev[778]       2        862        4.057      0.002       0.004       0.036    2.56       0
              irqbalance[2314]       1         15      138.209      8.991       9.213       9.559    0.50       0
         containerd[4362/2345]    2345          1        1.114      1.114       1.114       1.114    0.00       0
          kworker/32:1-mm[779]       2        789        4.168      0.002       0.005       0.049    2.97       0
          kworker/33:1-mm[780]       2        723        4.205      0.002       0.005       0.069    4.12       0
         jbd2/nvme0n1p2-[1548]       2         74        4.891      0.006       0.066       0.437   14.64       0
            dockerd[4364/2411]    2411          7        3.344      0.053       0.477       1.133   34.54       0
             migration/42[269]       2         37        0.343      0.003       0.009       0.041   14.09       0
          kworker/34:1-ev[781]       2        756        4.169      0.002       0.005       0.037    2.62       0
              agent[4365/3163]    3163          1        0.276      0.276       0.276       0.276    0.00       0
               ksoftirqd/0[14]       2        150        1.508      0.003       0.010       0.103    7.01       0
          kworker/35:1-mm[782]       2        769        4.415      0.001       0.005       0.038    3.10       0
                   gmond[2318]       1         16        9.276      0.065       0.579       1.790   23.45       0
                 rcu_sched[15]       2       2107       35.034      0.004       0.016       0.052    0.70       0
             migration/85[527]       2         38        0.401      0.002       0.010       0.040   17.04       0
          kworker/36:1-mm[783]       2        738        4.942      0.001       0.006       0.044    2.97       0
         kworker/90:1H-k[1551]       2          4        0.330      0.052       0.082       0.114   16.98       0
               migration/0[16]       2         37        0.308      0.003       0.008       0.042   11.86       0
          kworker/37:1-mm[784]       2        785        4.263      0.002       0.005       0.038    3.28       0
          kworker/38:1-mm[785]       2        271        2.444      0.002       0.009       0.085    9.01       0
         containerd[5905/2345]    2345          1        0.586      0.586       0.586       0.586    0.00       0
          kworker/39:1-mm[786]       2        372        1.811      0.002       0.004       0.044    4.79       0
                rsyslogd[2322]       1          1        0.022      0.022       0.022       0.022    0.00       0
             migration/43[275]       2         37        0.227      0.003       0.006       0.042   16.92       0
          kworker/40:1-mm[787]       2        236        1.331      0.002       0.005       0.044    6.46       0
       kworker/64:1-ev[145427]       2         60        0.744      0.002       0.012       0.047   12.06       0
          kworker/41:1-mm[788]       2        382        1.744      0.002       0.004       0.034    3.84       0
                  screen[7700]       1          6        3.013      0.053       0.502       1.674   55.05       0
       kworker/61:2-mm[145428]       2          3        0.055      0.014       0.018       0.025   18.84       0
       kworker/u228:1-[571668]       2          8        0.223      0.009       0.027       0.032    9.73       0
             migration/86[533]       2         38        0.223      0.002       0.005       0.041   17.42       0
          kworker/42:1-mm[789]       2        367        2.144      0.001       0.005       0.053    4.35       0
            dockerd[4629/2411]    2411         28        5.669      0.012       0.202       1.881   38.59       0
               migration/1[22]       2         37        0.333      0.003       0.009       0.041   10.56       0
             ksoftirqd/86[534]       2          2        0.027      0.008       0.013       0.018   36.49       0
          kworker/43:1-mm[790]       2        406        2.417      0.002       0.005       0.038    4.57       0
               ksoftirqd/1[23]       2          1        0.014      0.014       0.014       0.014    0.00       0
          kworker/44:1-mm[791]       2        112        0.727      0.002       0.006       0.039    8.03       0
         kworker/89:1H-k[1303]       2          3        0.299      0.093       0.099       0.106    3.52       0
              snapd[2583/2327]    2327          7        2.284      0.013       0.326       1.323   58.16       0
